session_id	start_time	sec	min	category	events
1305192621b4643-a1d4-4288-9cb2-9ece426a01f1_1	26.08.2019 10:28	164	2	Coding, VCS	actions_Find , actions_com.intellij.find.SearchReplaceComponent$10 , actions_com.intellij.openapi.fileEditor.impl.EditorTabbedContainer$CloseTab , toolwindow_Project , actions_FindInPath , ui.dialogs_com.intellij.find.impl.FindPopupPanel$2 , actions_com.intellij.find.impl.FindPopupPanel$MyEnterAction , ui.dialogs_com.intellij.find.impl.FindPopupPanel$2 , file.types.usage_JAVA , actions_GotoDeclaration , productivity_navigation.goto.declaration , file.types.usage_JAVA , productivity_editing.select.word , actions_Find , actions_NextOccurence , actions_com.intellij.find.SearchReplaceComponent$10 , actions_GotoDeclaration , productivity_navigation.goto.declaration , productivity_editing.select.word , actions_EditorCopy , actions_Back , actions_Vcs.ShowTabbedFileHistory , toolwindow_Version_Control , toolbar_Vcs.ShowTabbedFileHistory , actions_Diff.ShowDiff , actions_HideActiveWindow , toolbar_HideActiveWindow , actions_FindInPath , ui.dialogs_com.intellij.find.impl.FindPopupPanel$2 , ui.dialogs_com.intellij.find.impl.FindPopupPanel$2 , actions_GotoDeclaration , productivity_navigation.goto.declaration , file.types.usage_JAVA , actions_GotoDeclaration , productivity_navigation.goto.declaration , file.types.usage_JAVA , gutter.icon.click_implementedMethod , actions_com.intellij.codeInsight.daemon.NavigateAction , file.types.usage_JAVA , actions_Back , productivity_editing.select.word , actions_GotoDeclaration , productivity_navigation.goto.declaration , file.types.usage_JAVA , actions_com.intellij.codeInsight.daemon.NavigateAction , gutter.icon.click_implementedMethod , file.types.usage_JAVA , productivity_editing.select.word , actions_GotoDeclaration , productivity_navigation.goto.declaration , file.types.usage_JAVA , actions_EditorCopy
0104192bd9b36a1-98c7-4a5e-817d-313d69be0ba3_1	30.08.2019 20:16	66	1	Coding	actions_FindInPath , toolwindow_Find , ui.dialogs_com.intellij.find.impl.FindPopupPanel$2 , ui.dialogs_com.intellij.find.impl.FindPopupPanel$2 , actions_GotoDeclaration , productivity_navigation.goto.declaration , file.types.usage_JAVA
0304192f4244c10-88fc-4a38-992b-28bf8ffcfb58_0	27.08.2019 6:18	11	0	Ide start, Ide close	event.log_whitelist.loaded , lifecycle_ide.start , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , lifecycle_project.opened , toolwindow_Project , ui.tips_dialog.shown , ui.dialogs_com.intellij.ide.util.TipDialog , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , lifecycle_ide.close , lifecycle_project.closed
0905192c46ec682-3f47-4af1-b313-755dbfcfe1fa_4	27.08.2019 11:24	748	12	Coding	toolwindow_Project , file.types.usage_JAVA , actions_EditorCopy , actions_EditorCopy
1404192054d7ef6-857b-4fd3-9084-333d5eb67b73_27	30.08.2019 10:04	489	8	Coding	productivity_SearchEverywhere , searchEverywhere_dialogOpen , actions_GotoClass , actions_EditorPaste , actions_third.party , file.types.usage_JAVA , actions_Find , actions_EditorPaste , actions_com.intellij.find.SearchReplaceComponent$10 , productivity_editing.select.word , productivity_editing.select.word , actions_CallHierarchy , toolwindow_Hierarchy , file.types.usage_JAVA , productivity_editing.select.word , actions_EditorCopy , actions_validation.unmatched_rule , actions_EditorPaste , productivity_navigation.popup.camelprefix , file.types.usage_JAVA , productivity_editing.select.word , actions_Back , productivity_editing.select.word , actions_validation.unmatched_rule , productivity_navigation.popup.camelprefix , productivity_editing.select.word , actions_GotoImplementation , productivity_navigation.goto.implementation , file.types.usage_JAVA , actions_FindInPath , find_FindInPath.FileFilterOn , ui.dialogs_com.intellij.find.impl.FindPopupPanel$2 , actions_EditorPaste , find_FindPopupPanel$ToggleFileFilter , ui.dialogs_com.intellij.find.impl.FindPopupPanel$2 , actions_CallHierarchy , toolwindow_Hierarchy , productivity_editing.select.word , actions_GotoDeclaration , productivity_navigation.goto.declaration , productivity_editing.select.word , actions_validation.unmatched_rule , productivity_navigation.popup.camelprefix , actions_GotoDeclaration , productivity_navigation.goto.declaration , productivity_editing.select.word , productivity_editing.select.word , actions_FindInPath , ui.dialogs_com.intellij.find.impl.FindPopupPanel$2 , ui.dialogs_com.intellij.find.impl.FindPopupPanel$2 , actions_third.party , productivity_editing.select.word , actions_GotoDeclaration , productivity_navigation.goto.declaration , file.types.usage_JAVA , actions_com.intellij.ide.projectView.impl.ProjectViewImpl$ScrollFromSourceAction , toolbar_com.intellij.ide.projectView.impl.ProjectViewImpl$ScrollFromSourceAction , toolbar_com.intellij.ide.projectView.impl.ProjectViewImpl$ScrollFromSourceAction , actions_com.intellij.ide.projectView.impl.ProjectViewImpl$ScrollFromSourceAction , actions_Back , productivity_editing.select.word , productivity_editing.select.word , productivity_editing.select.word
0204192d92e01a5-cec3-4b1c-9b0c-d75793d8ce90_2	27.08.2019 16:45	512	8	Coding	searchEverywhere_dialogOpen , actions_GotoClass , productivity_SearchEverywhere , actions_EditorBackSpace , actions_EditorBackSpace , actions_com.intellij.ui.ScrollingUtil$5 , actions_third.party , file.types.usage_Scala , productivity_SearchEverywhere , actions_GotoClass , searchEverywhere_dialogOpen , actions_EditorBackSpace , file.types.usage_Scala , actions_GotoDeclaration , productivity_navigation.goto.declaration , productivity_navigation.goto.usages , actions_ShowUsages , file.types.usage_Scala
0404192fc756d0d-7c0c-493e-918d-ef51209587de_13	28.08.2019 22:14	636	10	RD	actions_Run , toolbar_Run , run.configuration.exec_SpringBootApplicationConfigurationType , toolwindow_Messages , toolwindow_Run , actions_Rerun , toolbar_Rerun , run.configuration.exec_SpringBootApplicationConfigurationType , toolwindow_Run
03041910fd6df81-f137-4d92-911a-b6a839e13319_24	28.08.2019 8:01	11	0	Coding	file.types.usage_YAML , actions_EditorCopy , actions_EditorCopy
05051912837b479-c105-4077-8d4a-cb2c7811a592_13	30.08.2019 0:37	619	10	Ide start, rd	ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , lifecycle_project.opened , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , toolwindow_Project , lifecycle_ide.start , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , lifecycle_project.opening.finished , actions_com.intellij.ide.ReopenProjectAction , lifecycle_project.closed , lifecycle_project.opened , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , lifecycle_project.opening.finished , actions_com.intellij.execution.ExecutorRegistryImpl$ExecutorAction , toolbar_com.intellij.execution.ExecutorRegistryImpl$ExecutorAction , run.configuration.exec_SpringBootApplicationConfigurationType , toolwindow_Debug
020419340f7e4b9-195f-4d29-9e99-9619bf5efbf4_10	28.08.2019 11:54	221	3	Coding, VCS	lifecycle_project.closed , toolwindow_sbt-shell-toolwindow , actions_OpenFile , ui.dialogs_com.intellij.openapi.fileChooser.ex.FileChooserDialogImpl , ui.dialogs_com.intellij.openapi.fileChooser.ex.FileChooserDialogImpl , ui.dialogs_com.intellij.openapi.ui.messages.MessageDialog , lifecycle_project.opened , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , toolwindow_Project , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , lifecycle_project.opening.finished , actions_FindInPath , ui.dialogs_com.intellij.find.impl.FindPopupPanel$2 , actions_$SelectAll , actions_EditorCopy , actions_com.intellij.ui.ScrollingUtil$11 , ui.dialogs_com.intellij.find.impl.FindPopupPanel$2 , productivity_editing.select.word , actions_EditorDelete , file.types.usage_Python , actions_EditorDelete , productivity_editing.select.word , actions_EditorDelete , productivity_editing.select.word , actions_EditorDelete , actions_$SelectAll , actions_EditorPaste , actions_com.intellij.openapi.vcs.ex.LocalLineStatusTracker$LocalLineStatusMarkerRenderer$RollbackLineStatusRangeAction , toolbar_com.intellij.openapi.vcs.ex.LocalLineStatusTracker$LocalLineStatusMarkerRenderer$RollbackLineStatusRangeAction , productivity_editing.select.word , actions_EditorDelete , file.types.usage_Python , actions_EditorDelete , productivity_editing.select.word , actions_EditorDelete , productivity_editing.select.word , actions_EditorDelete , actions_$SelectAll , actions_EditorCopy , toolwindow_Terminal , terminalShell_local.exec , actions_$SelectAll , actions_EditorCopy , toolwindow_Version_Control , actions_Diff.ShowDiff , actions_ChangesView.Revert , ui.dialogs_com.intellij.openapi.vcs.changes.ui.RollbackChangesDialog , ui.dialogs_com.intellij.openapi.vcs.changes.ui.RollbackChangesDialog , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , actions_Diff.ShowDiff , actions_ChangesView.Revert , ui.dialogs_com.intellij.openapi.vcs.changes.ui.RollbackChangesDialog , ui.dialogs_com.intellij.openapi.vcs.changes.ui.RollbackChangesDialog , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , actions_Diff.ShowDiff , toolwindow_Terminal
